name,email,cpf,city,state
Dr. Bruno Josué Vasques,tabata.caldeira@beltrao.net.br,838.506.804-01,Vila Salomé do Leste,Distrito Federal
Evandro Noel Torres,josue05@gmail.com,162.080.685-17,Porto Ivan do Leste,São Paulo
Abgail Ortiz Assunção Jr.,ferminiano.simao@ferraz.com,146.166.291-53,Jimenes do Leste,Rondônia
Srta. Emília Zambrano Guerra,vferraz@gmail.com,339.183.293-21,São Ana,Minas Gerais
Dr. Ashley Fabiana Domingues Jr.,ldasilva@fernandes.net.br,196.424.096-40,Santa Leonardo do Leste,Tocantins
Sérgio Rico de Aguiar Filho,rebeca.deoliveira@torres.com.br,842.443.040-96,Santa Jerônimo,Paraná
Sra. Abril Neves Vale Jr.,abreu.horacio@gil.com.br,338.935.453-01,São Vitória,Distrito Federal
Sérgio Ramos,deoliveira.teobaldo@r7.com,218.595.155-68,Sofia do Sul,Piauí
Sr. Ian Romero,martines.ivana@gmail.com,655.707.750-30,Oliveira do Norte,Espírito Santo
Daniel Valdez Ávila,lcruz@ig.com.br,031.764.679-66,Feliciano do Leste,Rondônia
Sr. Simon Vieira Abreu Filho,clara69@gmail.com,166.794.446-08,Vila Julieta,Rio Grande do Sul
Srta. Renata Lutero Cortês,duchoa@terra.com.br,006.653.527-19,Delgado do Norte,Amazonas
Tábata Bianca Mendonça,cescobar@yahoo.com,095.344.604-27,Joaquin do Leste,Minas Gerais
Sophie Corona Gil,marques.sophie@gmail.com,219.123.411-90,Maia do Sul,Piauí
Sr. Evandro Hugo Mendes,salas.alonso@yahoo.com,726.361.424-36,Melissa d'Oeste,Sergipe
Srta. Rebeca Domingues Teles Filho,bianca70@r7.com,984.278.143-72,Alma d'Oeste,Pernambuco
Natal Jorge Lutero,hernani64@terra.com.br,552.255.220-41,Vila Mariana,Paraíba
Srta. Adriana Salas Sobrinho,xescobar@lutero.com,893.385.481-98,Quintana d'Oeste,Tocantins
Dr. Natal Ricardo Vieira Jr.,gustavo95@zaragoca.com,216.296.820-71,Joaquin do Leste,Goiás
Dr. Carolina Queirós Jr.,zortiz@yahoo.com,527.780.426-95,Porto Sofia,Sergipe
Sra. Pâmela da Rosa Neto,jeronimo72@ferreira.com,947.132.680-03,Vila Alexandre,Mato Grosso do Sul
Josué Prado Jr.,fatima.bittencourt@vasques.org,759.898.580-43,Ferminiano do Sul,Roraima
Sr. Christian Vila Dominato,dcamacho@romero.com,870.044.870-24,Cortês do Leste,Paraíba
Sra. Luciana de Souza Matias,jpena@pontes.com.br,364.467.196-63,Quintana do Sul,Rio de Janeiro
Srta. Elizabeth Rosa Ferreira Filho,leonardo95@gil.com,250.734.269-24,Vila Thales,Ceará
Juliana Renata Mendonça Filho,luzia.tamoio@pereira.org,147.709.875-52,Norma d'Oeste,Paraíba
Srta. Andrea Samanta Padilha Neto,dvila@prado.net.br,826.316.903-89,Santa Rafael,Paraíba
Dr. Antônio Quintana Pereira Filho,hdominato@sales.net,647.491.714-84,Bonilha do Leste,Tocantins
Pedro Pedrosa Sobrinho,kferminiano@cruz.com,028.633.938-20,Ivan d'Oeste,Mato Grosso do Sul
Sr. Matias Maximiano Paz Sobrinho,garcia.maximiano@ig.com.br,061.123.307-09,Tamoio do Leste,Espírito Santo
Pedro Valdez Leon Sobrinho,rverdara@benites.net,572.506.842-05,São Pablo d'Oeste,Sergipe
Abril Rezende Escobar,fcampos@r7.com,418.214.883-50,Matias do Norte,Rio Grande do Norte
Elias Rangel Jr.,gomes.samanta@salazar.org,357.225.826-03,Porto Luis,Rio Grande do Sul
Melissa Rosa Leal,maite.padilha@yahoo.com,430.841.030-46,Rodrigues d'Oeste,Paraíba
Noel Uchoa Reis,dcarrara@medina.net,783.025.501-67,Santa Antonieta,Paraná
Dr. Benjamin Leal Toledo,tmaia@desouza.com,806.718.499-21,Rafael do Leste,Paraíba
Simão Bonilha Filho,christian.escobar@hotmail.com,109.620.344-87,Galindo do Leste,São Paulo
Dr. Antônio Hernani Ferreira,alan.delatorre@flores.net,693.434.597-50,Porto Ricardo,Distrito Federal
Sr. David Valência Estrada Neto,maite56@dominato.net.br,391.971.427-00,Porto Laura,Paraíba
Dr. Rafaela Samanta Cervantes,qmadeira@hotmail.com,720.279.851-40,Carlos do Norte,Maranhão
Srta. Bianca Sepúlveda Gusmão Jr.,malena85@barros.com,819.336.857-60,Quintana d'Oeste,Bahia
Dr. Melissa Serna Santacruz,matias.urias@hotmail.com,434.809.219-22,Vila Natália d'Oeste,Roraima
